Looking For Landers, Hopper, Impactors					Only landers that have made it to the Moon - including crashed landers							
												
							Lander Lunar Location (Long-Lat) 					
Luna 20	Lander and Sample Return	USSR	February 14, 1972	February 25, 1972	Collect soil samples from the Mare Fecunditatis and return them to Earth 	Collected 55 grams of soil samples, which different in composition to those returned by Luna 	3.7863	56.6242	Mare Fecunditatis	Deployed the first robotic rover to the surface of the Moon, which survived for months after its intended mission completion date, paving the way for future rover technology in Luna 21 - Demonstrated success keeping the rover functional despite the cold of the lunar nights - Collected soil structural data, which was useful for planning further landings	Luna 20 - Wikipedia	Luna 20, a Soviet lander and sample return mission, was launched on February 14, 1972, with the objective of collecting soil samples from the Mare Fecunditatis and returning them to Earth. The mission successfully collected 55 grams of soil samples, which were found to have a different composition compared to those returned by earlier missions. The coordinates of the lander were 3.7863° latitude and 56.6242° longitude, located in the Mare Fecunditatis. Luna 20 also deployed the first robotic rover on the lunar surface, which outlived its intended mission duration, surviving several months past its planned completion. This demonstrated the feasibility of rover technology in harsh lunar conditions, paving the way for future rovers such as the Lunokhod 2 in Luna 21. The mission also showcased success in maintaining rover functionality despite the cold lunar nights and provided valuable soil structural data for planning subsequent lunar landings.
Luna 21	Lander and Rover	USSR	January 8, 1973	May 9, 1973	Deploy the rover Lunkhod 2, Take images of the surface, determine ambient light on the surface to see if astronomical observations could be made from the Moon, measure x-rays and magnetic fields	Returned 80,000 images of the Le Monnier Crater until the rover was lost	25.85	30.45	Le Monnier crater	Showed that the moon had different soil composition at different locations - Soil samples were similar to those that would be returned by Apollo 16 in the future	Luna 21 - Wikipedia	Luna 21, launched on January 8, 1973, was a Soviet mission designed to deploy the Lunokhod 2 rover to explore the Moon's surface, particularly around the Le Monnier Crater. The mission aimed to take images, measure ambient light for potential astronomical observations, and gather data on x-rays and magnetic fields. Over its operational period until May 9, 1973, the rover successfully transmitted 80,000 images of the surface, providing detailed views of the Le Monnier Crater. The mission also demonstrated that the Moon's soil composition varied across different locations. Soil samples taken during the mission were found to be similar to those later returned by Apollo 16, adding to the comparative lunar geological data. The rover’s success paved the way for future lunar exploration using robotic vehicles. The mission’s coordinates were 25.85° latitude and 30.45°
Luna 23	Lander and Sample Return	USSR	October 28, 1974	November 9, 1974	Return Lunar samples from Mare Crisium to Earth of much deeper depth than previous samples had been drilled	Nothing, the lander failed to land upright and could neither take samples nor return home	12.6669	62.1511	Mare Crisium	Demonstrated improved rover technology, as Lunkhod 2 far surpassed the operational distance of Lunkhod 1	Luna 23 - Wikipedia	Luna 23, launched on October 28, 1974, was a Soviet mission intended to return lunar samples from Mare Crisium, specifically from much deeper depths than previous lunar sample collections. Unfortunately, the mission failed when the lander did not land upright, preventing it from taking samples or completing its objectives. Despite the failure, the mission was significant in demonstrating improved rover technology, as the Lunokhod 2 rover had already far surpassed the operational distance of its predecessor, Lunokhod 1. The mission's coordinates were 12.6669° latitude and 62.1511° longitude.
Luna 24	Lander and Sample Return	USSR	August 9, 1976	August 22, 1976	Return Lunar samples from Mare Crisium to Earth of much deeper depth than previous samples had been drilled, continuing Luna 23's failed mission	Returned samples of 2 meters in depth from Mare Crisium	12.7145	62.2097	Mare Crisium	Luna 23's failure forced the USSR to launch Luna 24 to complete approximately the same mission as Luna 23	Luna 24 - Wikipedia	Luna 24, launched on August 9, 1976, was a Soviet mission tasked with returning lunar samples from Mare Crisium, specifically from a much deeper depth than previous samples had been drilled, continuing the mission objectives of the failed Luna 23. The lander successfully collected samples from a depth of 2 meters and returned them to Earth. This mission was crucial, as Luna 23's failure led the USSR to launch Luna 24 to complete the same objectives. The mission's coordinates were 12.7145° latitude and 62.2097° longitude.
Chandrayaan-1	Orbiter and Impactor 	India 	November 14, 2008	NA	Record and transmit live data from Lunar touchdown to support future soft lander missions - Provide and act as a testing platfrom for new technologies developed by ISRO to reach the Moon 	Succesful Lunar touch down, succesful transmission of data to sister orbiter -  Discovery of Water on Moon	-89.55	-122.93	crater Shackleton	Major boost to the Indian Space Research Organization (ISRO), as the impactor was part of the first Lunar missions from India - made India the fifth national space agency to reach the Lunar surface - for runner project for future soft-landing missions - collect data about the Lunar surface and astrodynamics experienced during descent for future rover and soft lander missions - Discovery of Water influenced a "rapid" response by the US to launch LCROSS and LRO to verify the discovery of water on the Lunar surface	Chandrayaan-1 - Wikipedia	Chandrayaan-1, an orbiter and impactor mission by India, was launched on November 14, 2008, to record and transmit live data from its lunar touchdown to support future soft lander missions. The mission also served as a platform for testing new technologies developed by the Indian Space Research Organization (ISRO) for lunar exploration. Chandrayaan-1 successfully achieved lunar touchdown and transmitted data to its sister orbiter, contributing to the groundbreaking discovery of water on the Moon, specifically at Shackleton Crater. This mission marked a major milestone for ISRO, making India the fifth nation to reach the lunar surface. It also laid the groundwork for future lunar missions, collecting critical data on the lunar surface and the astrodynamics experienced during descent. The discovery of water on the Moon prompted a rapid response from the United States, leading to the launch of LCROSS and LRO missions to verify the presence of water in permanently shadowed lunar regions.
LCROSS and LRO	Orbiter (LRO) and Impactor (LCROSS) 	USA 	October 9, 2009	NA	Determining the nature of Hydrogen detected at the Polar Regions - further explore the presence of water in the form of ice in permanently crater shadowed areas - designed to impact the Lunar surface and collect/analyse data from the impact plume - Two impacts, the first was the Centaur boosted stage of the rocket, the second was the Shepherding Spacecraft which collected, analyzed, and transmitted the data back to the orbiter LRO and Earth 	Confirmation of water on the Moon 	-84.9	-35.5	Cabeus	The finding or not finding of lunar water on the Lunar surface would highly influential as to whether or not the United States persued a Lunar Base - Water was Found	LCROSS - Wikipedia	LCROSS (Lunar Crater Observation and Sensing Satellite) and LRO (Lunar Reconnaissance Orbiter) were launched by NASA on October 9, 2009, with the primary goal of determining the nature of hydrogen detected at the Moon's polar regions and further exploring the presence of water in the form of ice in permanently shadowed craters. LCROSS was designed to impact the lunar surface, and it executed two impacts: the first, by the Centaur rocket stage, and the second by the Shepherding Spacecraft, which collected, analyzed, and transmitted data back to the LRO orbiter and Earth. The impact occurred at Cabeus crater, and the mission successfully confirmed the presence of water on the Moon. This discovery played a crucial role in the future of lunar exploration, influencing decisions regarding the potential establishment of a lunar base, as water on the Moon could support long-term human habitation and resource utilization.
GRAIL	Orbiters 	USA 	Decmeber 17, 2012		Determine and fully map the Gravitational fields of the Moon to further increase the Lunar composition and interna make up - at the end of the mission the orbiters were deorbited after completly depleting their fuel	Fuel consumption data 	75.6083	33.4043	Shackleton	The finding or not finding of lunar water on the Lunar surface would highly influential as to whether or not the United States persued a Lunar Base - Water was Found	GRAIL - Wikipedia	The GRAIL (Gravity Recovery and Interior Laboratory) mission, launched by NASA on December 17, 2012, consisted of two orbiters designed to map the Moon's gravitational fields in unprecedented detail. The mission aimed to increase understanding of the Moon's internal composition and structure, providing insights into its geological history. The orbiters mapped the gravitational anomalies of the lunar surface, helping scientists learn more about the Moon's crust, mantle, and core. At the end of the mission, both orbiters were intentionally deorbited after their fuel was fully depleted. GRAIL provided critical data that contributed to the understanding of the Moon's gravity and structure, including findings that influenced future lunar exploration strategies, particularly with regard to water discovery in the lunar surface and its potential use for establishing a lunar base. The data was essential for future plans of lunar exploration and human missions.
Chang'e 3 and Yutu	Lander(Chang's 3) and Rover(Yutu)	China 	December 14, 2013	Rover: August 3, 2016 Lander: Operational 	Achieve China's first soft-landing and roving exploration of the Moon - develope and test key technologies for future missions - descover and research more on lunar surface topography, geology surveys, Lunar based astronomical observations - Lunar soil composition by layers	Technology demonstrator that successfully worked - Rover proved to be able to last through Lunar nights - RHU unit verification - rover mechanical malfunction after second night (Provided China with knowledge of how systems are affecfted on the Lunar surface) - Rover travelled 114 meters - Limited information due to CNSA's limited public information - Directly fed into the landing operations required for Chang'e-5	44.1214	-19.5116	Mare Imbrium	Part of a Lunar exploration program, the second phase in the program, by succesfully landing and opperating, the program was cleared for the next step in the exploration program - Chang's 4 was improved with new scientific instruments do to the success of Chang'e 3 - Provided a chance for America's LADEE mission to examine changes to baseline readings of the Lunar atmopshere, the propelant from the lander, which included water, provided an opportunity for LADEE to examine how lunar water gets deposited towards the Lunar cold traps 	Chang'e 3 - Wikipedia	The Chang'e 3 mission, launched by China on December 14, 2013, marked China's first successful soft-landing and roving exploration of the Moon. The mission aimed to test key technologies for future lunar exploration, including lunar surface topography, geological surveys, and lunar-based astronomical observations. The rover, Yutu, traveled 114 meters on the lunar surface, and both the lander and rover worked to study lunar soil composition by layers. One significant achievement was the rover's ability to survive the harsh lunar nights, which tested the reliability of the radioisotope heating unit (RHU) and other systems. However, after the second lunar night, the rover experienced mechanical malfunctions. Despite this, the mission provided China with valuable knowledge about how spacecraft systems are affected by the Moon's environment. The mission also contributed important data for lunar atmospheric studies, particularly regarding the deposition of lunar water into cold traps, which was studied by NASA's LADEE mission. Chang'e 3 was a crucial step in China's lunar exploration program, paving the way for the more advanced Chang'e 4 mission, which benefited from the insights gained.
Chang'e 4 and Yutu 2	Lander and Rover 	China 	January 3, 2019	Operational 	Determine the age and composition of an unexplored region of the Moon - develope technologies required for later stages of program (Relay satelite communication - Determine information about the Dark Side of the Moon: Lunar Surface Temp - Cosmic Rays - Solar Corona radiation affects and levels - lunar soil composition 	First to land on far side of the Moon - first plants to sprout on the Moon -  Yutu 2 broke rover longevity record of the USSR - Directly fed into the landing operations required for Chang'e-6	-45.444	177.599	Spatio Tianhe	Deomnstration and testing grounds for new technolgy (Rover life span - Rover funcitonality - Soft Landing on Dark Side of Moon - L2 orbit Relay satelite) - Increased United States - China Space collaboration, talks were about using the Chang'e approach and landing for US Lunar atmospheric predicitions and validations using LRO, and using the Chang'e 4 probe and relay satelite for future American Moon Missions	Chang'e 4 - Wikipedia	Chang'e 4, launched by China on January 3, 2019, made history as the first mission to successfully land on the far side of the Moon, an area never explored by previous missions. The mission's objectives included determining the age and composition of an unexplored region of the Moon, particularly in the Von Kármán crater, and testing new technologies for future lunar exploration. These technologies included the use of a relay satellite positioned at the Earth-Moon L2 point to maintain constant communication, which would be critical for future lunar missions.The Yutu-2 rover, part of the mission, broke the record for rover longevity previously held by Soviet missions. It traveled over 1,000 meters across the lunar surface, conducting studies on lunar soil composition, temperature, cosmic rays, and the effects of solar radiation. Yutu-2 also became the first rover to sprout plants on the Moon, marking a significant achievement in lunar biology experiments. Chang'e 4 provided critical data that directly influenced the planning of future lunar missions, including the upcoming Chang'e-6. Additionally, it sparked increased collaboration between China and the United States, with discussions about utilizing the Chang'e 4 mission's relay satellite and lunar atmospheric data for future U.S. lunar missions, potentially enhancing both nations' understanding of the Moon's environment.
Chandrayaan-2	Orbiter(Chandrayaan 2), Lander(Vikram), and Rover(Pragyan) 	India 	September 6, 2019	September 6, 2019	map and Study the variations in lunar surface composition as well as Lunar Water - Demonstrate soft landing capabilities and rover opperation 	Crashed 	-70.881	22.784	Near Lunar South Pole	Was a demonstration mission that prooved  the capabilities of the Indian Space industry, however due to its failure, the mission was to be repeated by Chandrayaan-3	Chandrayaan-2 - Wikipedia	Chandrayaan-2, launched by India on July 22, 2019, aimed to map and study the variations in lunar surface composition and investigate the presence of lunar water. The mission included an orbiter, a lander named Vikram, and a rover called Pragyan. While the orbiter successfully entered lunar orbit and continues to transmit data, the Vikram lander crashed during its descent to the Moon's surface near the lunar south pole on September 6, 2019. This failure prevented the rover from deploying and completing its planned operations. Despite the crash, Chandrayaan-2 demonstrated India's capabilities in space exploration, particularly in orbiter technology. The mission's partial success paved the way for Chandrayaan-3, which was launched to repeat the soft-landing and rover deployment objectives.
Chang'e 5 	Orbiter, Lander and  Ascender	China 	December 1, 2020	sample return launch on December 3, 2020	land on the Moon, collect Lunar surface samples and return samples back to Earth -  Lander: Drill and scooper for collecting samples - Ascender: Launch samples from Lunar surface to the Returner probe in Lunar Orbit 	Lunar soil surface samples and core sample returned to Earth -  "Closed a 2 Billion Year Gap in Lunar geology" - Increased international communication and collaboration and other countries were allowed to analyze the samples - returned 1,731 grams of Lunar material 	43.0576	-51.9161	Mons Rümker	Part of the final stage of the Chinese Lunar Exploration robotic missions - prooved that China was capable of landing, sampling, and returning lunar samples - The cullmination of Data from the Chang'e missions feeds directly into China's desire to create a Manned Lunar Base. 	Chang'e 5 - Wikipedia	Chang'e 5, launched by China on December 1, 2020, was a groundbreaking mission designed to land on the Moon, collect lunar surface samples, and return them to Earth. The mission involved an orbiter, lander, and ascender, with the lander equipped with a drill and scooper for sample collection. The ascender was tasked with launching the samples from the lunar surface to a returner probe in lunar orbit. After a successful sample collection from Mons Rümker, Chang'e 5 returned 1,731 grams of lunar material, including both surface and core samples, closing a two-billion-year gap in lunar geology research. This achievement not only advanced scientific knowledge of the Moon but also marked China’s ability to land on, sample, and return materials from the Moon. The mission also increased international collaboration, with other countries allowed to analyze the returned samples. Chang'e 5 was a significant step in China’s lunar exploration program, contributing to the country’s plans for a manned lunar base.
Hakuto-R Mission 1	Lander and Rover	Japan 	25 April, 2023	25 April, 2023	Technology demonstrator for privately funded Lunar Exploration 	Crashed 	47.581	44.094	Atlas Crater	Demonstrator for future lunar mission by ISPACE	Hakuto-R Mission 1 - Wikipedia	Hakuto-R Mission 1, launched by the private company ISPACE (Japan) on April 25, 2023, was a technology demonstrator for privately funded lunar exploration. The mission aimed to showcase the capabilities of private industry in lunar landings and operations. Unfortunately, the lander crashed on the Moon, preventing the successful execution of its objectives. The mission took place near Atlas Crater, and despite its failure, it served as a significant step toward future lunar missions by ISPACE and the broader private space sector.
Chandrayaan-3	Orbiter(Chandrayaan 3), Lander(Vikram) and Rover(Pragyan) 	India 	August 23, 2023	Rover: September 4, 2023 Lander: Operational?	Technology demonstrator mission - rover deployment and opperartion demonstrator - Lunar material composition data - soft landing capabilitites - monitor rover capabilities 	Southern Most Lunar Lander - rover not built to last through the cold nights and therefore died during first lunar night - rover drove 101.4 m	-69.373	32.319	Statio Shiv Shakti	Orbital Dynamics data from Chandayaan 2 improved Chandrayaan 3 landing capabilities - increased structural and system redundancy - Lander hop: demonstration of launch capabilities for future sample return missions - demonstration of complete lander control and redundancy by retracking and redeploying rover ramp and external sensors during hop 	Chandrayaan-3 - Wikipedia	Chandrayaan-3, launched by India on August 23, 2023, was a technology demonstrator mission featuring an orbiter (Chandrayaan 3), lander (Vikram), and rover (Pragyan). The mission aimed to showcase soft landing capabilities, rover deployment, and lunar material composition analysis. The Vikram lander successfully became the southernmost lander on the Moon, and the Pragyan rover traveled 101.4 meters before it died during the first lunar night, as it was not designed to survive the extreme cold. However, the mission demonstrated significant advancements, such as improved landing capabilities due to orbital dynamics data from Chandrayaan-2. It also featured enhanced structural and system redundancy, a successful lander hop to demonstrate future sample return mission capabilities, and a complete demonstration of lander control by retracting and redeploying the rover ramp and external sensors during the hop. The mission took place near Statio Shiv Shakti, contributing to the development of India's space exploration infrastructure.
Slim-1	Lander(SLIM) - Rover(LEV-2) - Hopper(LEV-1) 	Japan 	January 19, 2024	August 23, 2024	Demonstrate soft precision landing (within 100 m) - Test Lunar hopping capabilities (LEV-1) -  Test Lunar rover deployment (LEV-2)	Precision Landing achieved - seven lunar hops from LEV-1 - and succesful deployment and operation of LEV-2	-13.316	25.251	near  Shioli crater	Displayed capability for accurate and precise landing - displayed ability to deploy rover and hopper while hovering about Lunar surface - succesful opperation of hopper and rover 	Smart Lander for Investigating Moon - Wikipedia	Slim-1, a mission launched by Japan on January 19, 2024, is designed to demonstrate soft precision landing, lunar hopping capabilities (LEV-1), and rover deployment (LEV-2). The mission achieved its goal of landing with precision, staying within 100 meters of its target location. The LEV-1 hopper successfully performed seven lunar hops, while the LEV-2 rover was deployed and operated successfully. The mission took place near the Shioli crater. Slim-1 showcased Japan's capability for precise landings and the ability to deploy both a rover and a hopper while hovering above the lunar surface, marking significant advancements in lunar exploration technology.
IM-1	Lander(Odysseus)	USA	Februaury 22, 2024	N/A	Become the first soft Lunar lander from a private company 	Partially tipped to 30 degrees - Succesfully landed on Lunar surface 	-80.13	1.44	Malapert A	Became the first privatly funded and built Lunar lander to succesfully land on the Moon, opening doors for the private aerospace industry	IM-1 - Wikipedia	IM-1, a mission by the USA launched on February 22, 2024, marked the first soft lunar landing from a private company. The lander, named Odysseus, successfully touched down on the lunar surface near Malapert A. Although the lander partially tipped to 30 degrees, it remained operational. This achievement made IM-1 the first privately funded and built lunar lander to land successfully on the Moon, opening new doors for the private aerospace industry and demonstrating the potential for commercial involvement in space exploration.
Chang'e 6 	Lander - Ascender - Rover - Orbiter	China 	June 1, 2024	Samples returned: June 25, 2024	Collect and return samples from the Far side of the Moon 	First to return samples from the far side of the Moon (1935.3 grams) - Rover to help with determination of Water on Lunar surface 	-41.6385	-153.9852	Southern mare of Apollo Basin	Became the first mission to succesfully return samples from the Far side of the Moon - Prooved China's space capabilities	Chang'e 6 - Wikipedia	Chang'e 6, launched by China on June 1, 2024, is set to be the first mission to return lunar samples from the far side of the Moon. The mission will collect and return approximately 1935.3 grams of lunar material by June 25, 2024. The rover included in the mission will assist in investigating the presence of water on the lunar surface. The mission's landing site is located in the southern mare of the Apollo Basin, at coordinates -41.6385, -153.9852. Chang'e 6 will demonstrate China's advanced space capabilities, marking a significant milestone as the first mission to successfully return samples from the far side of the Moon.
